	tweet_id	jpg_url	prob_breed	timestamp	source	text	expanded_urls	rating_numerator	rating_denominator	name	doggo	floofer	pupper	puppo	num_likes	num_retweets
37	666776908487630848	https://pbs.twimg.com/media/CUDeDoWUYAAD-EM.jpg	miniature_pinscher	2015-11-18 00:36:17 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Josep. He is a Rye Manganese mix. Can drive w eyes closed. Very irresponsible. Menace on the roadways. 5/10 https://t.co/XNGeDwrtYH	https://twitter.com/dog_rates/status/666776908487630848/photo/1	5.0	10.0	Josep	None	None	None	None	351.0	175.0
38	666781792255496192	https://pbs.twimg.com/media/CUDigRXXIAATI_H.jpg	Italian_greyhound	2015-11-18 00:55:42 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a purebred Bacardi named Octaviath. Can shoot spaghetti out of mouth. 10/10 https://t.co/uEvsGLOFHa	https://twitter.com/dog_rates/status/666781792255496192/photo/1	10.0	10.0	a	None	None	None	None	389.0	198.0
39	666804364988780544	https://pbs.twimg.com/media/CUD3A7YWoAA82N0.jpg	English_setter	2015-11-18 02:25:23 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Jockson. He is a Pinnacle Sagittarius. Fancy bandana. Enjoys lightly sucking on hot dog in nature. 8/10 https://t.co/RdKbAOEpDK	https://twitter.com/dog_rates/status/666804364988780544/photo/1	8.0	10.0	Jockson	None	None	None	None	242.0	94.0
40	666817836334096384	https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg	miniature_schnauzer	2015-11-18 03:18:55 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Jeph. He is a German Boston Shuttlecock. Enjoys couch. Lost body during French Revolution. True hero 9/10 https://t.co/8whlkYw3mO	https://twitter.com/dog_rates/status/666817836334096384/photo/1	9.0	10.0	Jeph	None	None	None	None	520.0	253.0
42	666835007768551424	https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg	Airedale	2015-11-18 04:27:09 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	These are Peruvian Feldspars. Their names are Cupit and Prencer. Both resemble Rand Paul. Sick outfits 10/10 &amp; 10/10 https://t.co/ZnEMHBsAs1	https://twitter.com/dog_rates/status/666835007768551424/photo/1	10.0	10.0	None	None	None	None	None	216.0	80.0
43	666996132027977728	https://pbs.twimg.com/media/CUGlb6iUwAITEbW.jpg	Rottweiler	2015-11-18 15:07:24 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Carll. He wants to be a donkey. But also a soccer star. Dreams big. 10/10 https://t.co/SVpNbhaIMk	https://twitter.com/dog_rates/status/666996132027977728/photo/1	10.0	10.0	Carll	None	None	None	None	247.0	95.0
44	667044094246576128	https://pbs.twimg.com/media/CUHREBXXAAE6A9b.jpg	golden_retriever	2015-11-18 18:17:59 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	12/10 gimme now https://t.co/QZAnwgnOMB	https://twitter.com/dog_rates/status/667044094246576128/photo/1	12.0	10.0	None	None	None	None	None	185.0	51.0
46	667073648344346624	https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg	Chihuahua	2015-11-18 20:15:26 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Here is Dave. He is actually just a skinny legged seal. Happy birthday Dave. 10/10 https://t.co/DPSamreuRq	https://twitter.com/dog_rates/status/667073648344346624/photo/1	10.0	10.0	Dave	None	None	None	None	408.0	124.0
48	667119796878725120	https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg	Pembroke	2015-11-18 23:18:48 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Gabe. He is a southern Baklava. Gabe has always wanted to fit in with the other bananas. 10/10 fabulous https://t.co/3LZrJzg3BJ	https://twitter.com/dog_rates/status/667119796878725120/photo/1	10.0	10.0	Gabe	None	None	None	None	331.0	128.0
49	667138269671505920	https://pbs.twimg.com/media/CUImtzEVAAAZNJo.jpg	West_Highland_white_terrier	2015-11-19 00:32:12 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Extremely intelligent dog here. Has learned to walk like human. Even has his own dog. Very impressive 10/10 https://t.co/0DvHAMdA4V	https://twitter.com/dog_rates/status/667138269671505920/photo/1	10.0	10.0	None	None	None	None	None	4651.0	2247.0
53	667171260800061440	https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg	giant_schnauzer	2015-11-19 02:43:18 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Say hello to Kenneth. He likes Reese's Puffs. 10/10 https://t.co/6RHNRsByOY	https://twitter.com/dog_rates/status/667171260800061440/photo/1	10.0	10.0	Kenneth	None	None	None	None	223.0	91.0
54	667174963120574464	https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg	toy_poodle	2015-11-19 02:58:01 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Clarence. His face says he doesn't want to be a donkey, but his tail is super pumped about it. 9/10 https://t.co/fGDWgukcBs	https://twitter.com/dog_rates/status/667174963120574464/photo/1	9.0	10.0	Clarence	None	None	None	None	247.0	84.0
55	667176164155375616	https://pbs.twimg.com/media/CUJJLtWWsAE-go5.jpg	soft-coated_wheaten_terrier	2015-11-19 03:02:47 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	These are strange dogs. All have toupees. Long neck for dogs. In a shed of sorts? Work in groups? 4/10 still petable https://t.co/PZxSarAfSN	https://twitter.com/dog_rates/status/667176164155375616/photo/1	14.0	10.0	None	None	None	None	None	613.0	468.0
56	667177989038297088	https://pbs.twimg.com/media/CUJK18UWEAEg7AR.jpg	vizsla	2015-11-19 03:10:02 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a Dasani Kingfisher from Maine. His name is Daryl. Daryl doesn't like being swallowed by a panda. 8/10 https://t.co/jpaeu6LNmW	https://twitter.com/dog_rates/status/667177989038297088/photo/1	8.0	10.0	a	None	None	None	None	192.0	55.0
58	667192066997374976	https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg	Rottweiler	2015-11-19 04:05:59 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	*takes several long deep breaths* omg omg oMG OMG OMG OMGSJYBSNDUYWJO 12/10 https://t.co/QCugm5ydl6	https://twitter.com/dog_rates/status/667192066997374976/photo/1	12.0	10.0	None	None	None	None	None	389.0	109.0
60	667211855547486208	https://pbs.twimg.com/media/CUJppKJWoAA75NP.jpg	golden_retriever	2015-11-19 05:24:37 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Genevieve. She is a golden retriever cocktail mix. Comfortable close to wall. Shows no emotions. 9/10 https://t.co/azEoGqVonH	https://twitter.com/dog_rates/status/667211855547486208/photo/1	9.0	10.0	Genevieve	None	None	None	None	497.0	245.0
61	667393430834667520	https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg	papillon	2015-11-19 17:26:08 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Fwed. He is a Canadian Asian Taylormade. Was having a blast until pink spiky football attacked. 8/10 https://t.co/A37eGLz5WS	https://twitter.com/dog_rates/status/667393430834667520/photo/1	8.0	10.0	Fwed	None	None	None	None	197.0	58.0
62	667405339315146752	https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg	Saint_Bernard	2015-11-19 18:13:27 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Biden. Biden just tripped... 7/10 https://t.co/3Fm9PwLju1	https://twitter.com/dog_rates/status/667405339315146752/photo/1	7.0	10.0	Biden	None	None	None	None	473.0	221.0
63	667435689202614272	https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg	Rottweiler	2015-11-19 20:14:03 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Ermergerd 12/10 https://t.co/PQni2sjPsm	https://twitter.com/dog_rates/status/667435689202614272/photo/1	12.0	10.0	None	None	None	None	None	308.0	84.0
64	667453023279554560	https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg	Labrador_retriever	2015-11-19 21:22:56 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa	https://twitter.com/dog_rates/status/667453023279554560/photo/1	11.0	10.0	Cupcake	None	None	None	None	318.0	91.0
65	667455448082227200	https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg	Tibetan_terrier	2015-11-19 21:32:34 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK	https://twitter.com/dog_rates/status/667455448082227200/photo/1	7.0	10.0	Reese	None	None	None	None	194.0	60.0
66	667470559035432960	https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg	toy_poodle	2015-11-19 22:32:36 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk	https://twitter.com/dog_rates/status/667470559035432960/photo/1	11.0	10.0	a	None	None	None	None	259.0	100.0
67	667491009379606528	https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg	borzoi	2015-11-19 23:53:52 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y	https://twitter.com/dog_rates/status/667491009379606528/photo/1	7.0	10.0	None	None	None	None	None	539.0	232.0
70	667509364010450944	https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg	beagle	2015-11-20 01:06:48 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	This a Norwegian Pewterschmidt named Tickles. Ears for days. 12/10 I care deeply for Tickles https://t.co/0aDF62KVP7	https://twitter.com/dog_rates/status/667509364010450944/photo/1	12.0	10.0	None	None	None	None	None	6862.0	2172.0
71	667517642048163840	https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg	Italian_greyhound	2015-11-20 01:39:42 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0	https://twitter.com/dog_rates/status/667517642048163840/photo/1	8.0	10.0	Dook	None	None	None	None	372.0	196.0
72	667524857454854144	https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg	Chesapeake_Bay_retriever	2015-11-20 02:08:22 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm	https://twitter.com/dog_rates/status/667524857454854144/photo/1	12.0	10.0	None	None	None	None	None	1724.0	1132.0
73	667530908589760512	https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg	golden_retriever	2015-11-20 02:32:25 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy	https://twitter.com/dog_rates/status/667530908589760512/photo/1	10.0	10.0	Naphaniel	None	None	None	None	477.0	245.0
74	667534815156183040	https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg	Pembroke	2015-11-20 02:47:56 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV"	https://twitter.com/dog_rates/status/667534815156183040/photo/1	8.0	10.0	Frank	None	None	None	None	828.0	551.0
75	667538891197542400	https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg	Yorkshire_terrier	2015-11-20 03:04:08 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe"	https://twitter.com/dog_rates/status/667538891197542400/photo/1	9.0	10.0	a	None	None	None	None	208.0	67.0
76	667544320556335104	https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg	Pomeranian	2015-11-20 03:25:43 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR	https://twitter.com/dog_rates/status/667544320556335104/photo/1	10.0	10.0	Kial	None	None	None	None	878.0	534.0
79	667728196545200128	https://pbs.twimg.com/media/CUQ_QahUAAAVQjn.jpg	kuvasz	2015-11-20 15:36:22 +0000	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	Meet Olive. He comes to spot by tree to reminisce of simpler times and truly admire his place in the universe. 11/10 https://t.co/LwrCwlWwPB	https://twitter.com/dog_rates/status/667728196545200128/photo/1	11.0	10.0	Olive	None	None	None	None	379.0	152.0
81	667793409583771648	https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg	dalmatian	2015-11-20 19:55:30 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Dogs only please. Small cows and other non canines will not be tolerated. Sick tattoos tho 8/10 https://t.co/s1z7mX4c9O	https://twitter.com/dog_rates/status/667793409583771648/photo/1	8.0	10.0	None	None	None	None	None	710.0	336.0
82	667801013445750784	https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg	flat-coated_retriever	2015-11-20 20:25:43 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	OMIGOD 12/10 https://t.co/SVMF4Frf1w	https://twitter.com/dog_rates/status/667801013445750784/photo/1	12.0	10.0	None	None	None	None	None	335.0	97.0
83	667806454573760512	https://pbs.twimg.com/media/CUSGbXeVAAAgztZ.jpg	Chihuahua	2015-11-20 20:47:20 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Filup. He is overcome with joy after finally meeting his father. 10/10 https://t.co/TBmDJXJB75	https://twitter.com/dog_rates/status/667806454573760512/photo/1	10.0	10.0	Filup	None	None	None	None	1068.0	511.0
84	667832474953625600	https://pbs.twimg.com/media/CUSeGFNW4AAyyHC.jpg	miniature_pinscher	2015-11-20 22:30:44 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	"THE EYES 12/10

I'm sorry. These are supposed to be funny but your dogs are too adorable https://t.co/z1xPTgVLc7"	https://twitter.com/dog_rates/status/667832474953625600/photo/1	12.0	10.0	None	None	None	None	None	292.0	63.0
85	667861340749471744	https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg	malamute	2015-11-21 00:25:26 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is a Shotokon Macadamia mix named Cheryl. Sophisticated af. Looks like a disappointed librarian. Shh (lol) 9/10 https://t.co/J4GnJ5Swba	https://twitter.com/dog_rates/status/667861340749471744/photo/1	9.0	10.0	a	None	None	None	None	244.0	78.0
88	667886921285246976	https://pbs.twimg.com/media/CUTPnPCW4AI7R0y.jpg	Pomeranian	2015-11-21 02:07:05 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Erik. He's fucken massive. But also kind. Let's people hug him for free. Looks soft. 11/10 I would hug Erik https://t.co/MT7Q4aDQS1	https://twitter.com/dog_rates/status/667886921285246976/photo/1	11.0	10.0	Erik	None	None	None	None	1920.0	1119.0
89	667902449697558528	https://pbs.twimg.com/media/CUTdvAJXIAAMS4q.jpg	Norwegian_elkhound	2015-11-21 03:08:47 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Cleopatricia. She is a northern Paperback Maple. Set up hammock somehow. 9/10 would chill in hammock with https://t.co/sJeHdGUt0W	https://twitter.com/dog_rates/status/667902449697558528/photo/1	9.0	10.0	Cleopatricia	None	None	None	None	861.0	385.0
92	668113020489474048	https://pbs.twimg.com/media/CUWdPsqWcAERQVv.jpg	Pembroke	2015-11-21 17:05:31 +0000	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	This is Alfie. He's that one hypocritical gym teacher who made you run laps. Great posture. Cool bench. 6/10 https://t.co/GCJzm3YsfX	https://twitter.com/dog_rates/status/668113020489474048/photo/1	6.0	10.0	Alfie	None	None	None	None	678.0	252.0
